index,name,inscription_id,price,scraped_at
0,Instant Sell,Unknown,0.00110 BTC,2025-10-26T22:53:47.943134
1,Inscription,30d59db66c7ce4960a37bbd2caedd2d9257c32cd815b1dc28dc91a51be8b1554i0,0.00590 BTC,2025-10-26T22:53:47.943134
2,Inscription,4d0afb0149e1f5f40ed40ab1bef770a3476c89d66d6d4683cb7fa70ec299c64ei0,0.00600 BTC,2025-10-26T22:53:47.943134
3,Inscription,8f4c5c798fb4a9ea47445aa5571c8ec0070fe2c2c866338734abc932c2901ffbi0,0.00700 BTC,2025-10-26T22:53:47.943134
4,Inscription,74d2b646a02c1c36dfa4afdb4a3a41c48ae28a0a7448b9bd25498e867fa402ebi0,0.00737 BTC,2025-10-26T22:53:47.943134
5,#1,fcefb51fde40988a7d1d09dc3e5dfda9b4754f5eca173a36378500694edaf6bei0,0.00749 BTC,2025-10-26T22:53:47.943134
6,Inscription,2cea82f9c3243c406f926dedd945c92d9c885b8698ad01ca3d58534449c8bc00i0,0.00770 BTC,2025-10-26T22:53:47.943134
7,Inscription,9bca3cf90483a96cd23f990d3df4dd812c0bff3291721460e29dc993d27c1844i0,0.00780 BTC,2025-10-26T22:53:47.943134
8,Inscription,61112e9321cd63a4447917ba5be6d4e12ad520036c5102cecb441e04a9345eb1i0,0.00790 BTC,2025-10-26T22:53:47.943134
9,Egg,0cc8c4517b7891d8e8722bd125aaddaebc851ad7842390a4897d29ac6aa447eai0,0.00799 BTC,2025-10-26T22:53:47.943134
10,21Laws,Unknown,0.01049 BTC,2025-10-26T22:53:47.943134
11,1565	.\nall		5,Unknown,0.01100 BTC,2025-10-26T22:53:47.943134
12,Sword,Unknown,0.01100 BTC,2025-10-26T22:53:47.943134
13,Inscription,fec647447c0eaf62bc9d7143f805644c81458b33fc785a03e9924c74bc987d10i0,0.01250 BTC,2025-10-26T22:53:47.943134
14,Inscription,37e6262b0ab910aede724d9b4f54a1bde7f7df235a742b7e404229ed0f72a47di0,0.01290 BTC,2025-10-26T22:53:47.943134
15,Waifu,Unknown,0.01300 BTC,2025-10-26T22:53:47.943134
